country,happinessrank,happinessscore,whiskerhigh,whiskerlow,economysituation,family,healthlifeexpectancy,freedom,fenerosity,governmentcorruption.,dystopiaresidual
Norway,1,7.537000,7.594445,7.479556,1.616463,1.533524,0.796667,0.635423,0.362012,0.315964,2.277027
Denmark,2,7.522000,7.581728,7.462272,1.482383,1.551122,0.792566,0.626007,0.355280,0.400770,2.313707
Iceland,3,7.504000,7.622030,7.385970,1.480633,1.610574,0.833552,0.627163,0.475540,0.153527,2.322715
Switzerland,4,7.494000,7.561772,7.426227,1.564980,1.516912,0.858131,0.620071,0.290549,0.367007,2.276716
Finland,5,7.469000,7.527542,7.410458,1.443572,1.540247,0.809158,0.617951,0.245483,0.382612,2.430182
Netherlands,6,7.377000,7.427426,7.326574,1.503945,1.428939,0.810696,0.585384,0.470490,0.282662,2.294804
Canada,7,7.316000,7.384403,7.247597,1.479204,1.481349,0.834558,0.611101,0.435540,0.287372,2.187264
New Zealand,8,7.314000,7.379510,7.248490,1.405706,1.548195,0.816760,0.614062,0.500005,0.382817,2.046456
Sweden,9,7.284000,7.344095,7.223905,1.494387,1.478162,0.830875,0.612924,0.385399,0.384399,2.097538
Australia,10,7.284000,7.356651,7.211349,1.484415,1.510042,0.843887,0.601607,0.477699,0.301184,2.065211
Israel,11,7.213000,7.279853,7.146146,1.375382,1.376290,0.838404,0.405989,0.330083,0.085242,2.801757
Costa Rica,12,7.079000,7.168112,6.989888,1.109706,1.416404,0.759509,0.580132,0.214613,0.100107,2.898639
Austria,13,7.006000,7.070670,6.941330,1.487097,1.459945,0.815328,0.567766,0.316472,0.221060,2.138506
United States,14,6.993000,7.074657,6.911343,1.546259,1.419921,0.774287,0.505741,0.392579,0.135639,2.218113
Ireland,15,6.977000,7.043352,6.910649,1.535707,1.558231,0.809783,0.573110,0.427858,0.298388,1.773869
Germany,16,6.951000,7.005382,6.896619,1.487923,1.472520,0.798951,0.562511,0.336269,0.276732,2.015770
Belgium,17,6.891000,6.955821,6.826179,1.463781,1.462313,0.818092,0.539771,0.231503,0.251343,2.124210
Luxembourg,18,6.863000,6.923686,6.802314,1.741944,1.457584,0.845089,0.596628,0.283181,0.318834,1.619512
United Kingdom,19,6.714000,6.783792,6.644209,1.441634,1.496460,0.805336,0.508190,0.492774,0.265428,1.704144
Chile,20,6.652000,6.739251,6.564749,1.252785,1.284025,0.819480,0.376895,0.326662,0.082288,2.509586
United Arab Emirates,21,6.648000,6.722047,6.573952,1.626343,1.266410,0.726798,0.608345,0.360942,0.324490,1.734704
Brazil,22,6.635000,6.725470,6.544531,1.107353,1.431306,0.616552,0.437454,0.162350,0.111093,2.769267
Czech Republic,23,6.609000,6.683862,6.534138,1.352682,1.433885,0.754444,0.490946,0.088107,0.036873,2.451862
Argentina,24,6.599000,6.690085,6.507915,1.185295,1.440451,0.695137,0.494519,0.109457,0.059740,2.614005
Mexico,25,6.578000,6.671149,6.484851,1.153184,1.210862,0.709979,0.412730,0.120990,0.132774,2.837155
Singapore,26,6.572000,6.636723,6.507277,1.692278,1.353814,0.949492,0.549841,0.345966,0.464308,1.216362
Malta,27,6.527000,6.598397,6.455603,1.343280,1.488412,0.821944,0.588767,0.574731,0.153066,1.556863
Uruguay,28,6.454000,6.545906,6.362094,1.217560,1.412228,0.719217,0.579392,0.175097,0.178062,2.172410
Guatemala,29,6.454000,6.566874,6.341126,0.872002,1.255585,0.540240,0.531311,0.283488,0.077223,2.893891
Panama,30,6.452000,6.557131,6.346870,1.233748,1.373193,0.706156,0.550027,0.210557,0.070984,2.307200
France,31,6.442000,6.515768,6.368232,1.430923,1.387777,0.844466,0.470222,0.129762,0.172502,2.005955
Thailand,32,6.424000,6.509117,6.338883,1.127869,1.425792,0.647239,0.580201,0.572123,0.031613,2.039508
Taiwan Province of China,33,6.422000,6.494596,6.349404,1.433627,1.384565,0.793984,0.361467,0.258360,0.063829,2.126607
Spain,34,6.403000,6.471055,6.334945,1.384398,1.532091,0.888961,0.408781,0.190134,0.070914,1.927758
Qatar,35,6.375000,6.568477,6.181523,1.870766,1.274297,0.710098,0.604131,0.330474,0.439299,1.145464
Colombia,36,6.357000,6.452020,6.261980,1.070622,1.402183,0.595028,0.477487,0.149014,0.046669,2.616068
Saudi Arabia,37,6.344000,6.444167,6.243833,1.530624,1.286678,0.590148,0.449751,0.147616,0.273432,2.065430
Trinidad and Tobago,38,6.168000,6.381534,5.954467,1.361356,1.380229,0.519983,0.518631,0.325296,0.008965,2.053247
Kuwait,39,6.105000,6.191957,6.018043,1.632952,1.259699,0.632106,0.496338,0.228290,0.215160,1.640425
Slovakia,40,6.098000,6.177348,6.018652,1.325394,1.505059,0.712733,0.295817,0.136544,0.024211,2.097777
Bahrain,41,6.087000,6.178989,5.995011,1.488412,1.323110,0.653133,0.536747,0.172668,0.257042,1.656149
Malaysia,42,6.084000,6.179980,5.988021,1.291215,1.284646,0.618784,0.402265,0.416609,0.065601,2.004449
Nicaragua,43,6.071000,6.186584,5.955417,0.737299,1.287216,0.653096,0.447552,0.301674,0.130688,2.513931
Ecuador,44,6.008000,6.105848,5.910152,1.000820,1.286169,0.685636,0.455198,0.150112,0.140135,2.290353
El Salvador,45,6.003000,6.108635,5.897364,0.909784,1.182125,0.596019,0.432453,0.078258,0.089981,2.714594
Poland,46,5.973000,6.053908,5.892092,1.291788,1.445712,0.699475,0.520342,0.158466,0.059308,1.797723
Uzbekistan,47,5.971000,6.065538,5.876463,0.786441,1.548969,0.498273,0.658249,0.415984,0.246528,1.816914
Italy,48,5.964000,6.042737,5.885264,1.395067,1.444923,0.853144,0.256451,0.172790,0.028028,1.813312
Russia,49,5.963000,6.030275,5.895725,1.281778,1.469282,0.547349,0.373783,0.052264,0.032963,2.205607
Belize,50,5.956000,6.197242,5.714757,0.907975,1.081418,0.450192,0.547509,0.240016,0.096581,2.631956
Japan,51,5.920000,5.990719,5.849281,1.416915,1.436338,0.913476,0.505626,0.120573,0.163761,1.363224
Lithuania,52,5.902000,5.982670,5.821330,1.314582,1.473516,0.628950,0.234232,0.010165,0.011866,2.228441
Algeria,53,5.872000,5.978286,5.765714,1.091864,1.146217,0.617585,0.233336,0.069437,0.146096,2.567604
Latvia,54,5.850000,5.920264,5.779736,1.260749,1.404715,0.638567,0.325708,0.153075,0.073843,1.993655
South Korea,55,5.838000,5.922559,5.753441,1.401678,1.128274,0.900214,0.257922,0.206674,0.063283,1.880378
Moldova,56,5.838000,5.908371,5.767629,0.728871,1.251826,0.589465,0.240729,0.208779,0.010091,2.807808
Romania,57,5.825000,5.919694,5.730305,1.217684,1.150091,0.685158,0.457004,0.133520,0.004388,2.176831
Bolivia,58,5.823000,5.903977,5.742023,0.833757,1.227619,0.473630,0.558733,0.225561,0.060478,2.443279
Turkmenistan,59,5.822000,5.885181,5.758819,1.130777,1.493149,0.437726,0.418272,0.249925,0.259270,1.832910
Kazakhstan,60,5.819000,5.903642,5.734358,1.284556,1.384369,0.606042,0.437454,0.201964,0.119283,1.784893
North Cyprus,61,5.810000,5.897366,5.722633,1.346911,1.186303,0.834647,0.471204,0.266846,0.155353,1.549158
Slovenia,62,5.758000,5.842225,5.673775,1.341206,1.452519,0.790828,0.572576,0.242649,0.045129,1.313317
Peru,63,5.715000,5.811947,5.618054,1.035225,1.218770,0.630166,0.450003,0.126820,0.047049,2.207269
Mauritius,64,5.629000,5.729862,5.528138,1.189396,1.209561,0.638007,0.491247,0.360934,0.042182,1.697584
Cyprus,65,5.621000,5.714693,5.527307,1.355938,1.131363,0.844715,0.355112,0.271254,0.041238,1.621249
Estonia,66,5.611000,5.688140,5.533860,1.320879,1.476671,0.695168,0.479131,0.098891,0.183249,1.357509
Belarus,67,5.569000,5.646114,5.491885,1.156558,1.444945,0.637714,0.295400,0.155138,0.156314,1.723233
Libya,68,5.525000,5.676954,5.373046,1.101803,1.357564,0.520169,0.465733,0.152074,0.092610,1.835011
Turkey,69,5.500000,5.594865,5.405135,1.198274,1.337753,0.637606,0.300741,0.046693,0.099672,1.879278
Paraguay,70,5.493000,5.577381,5.408619,0.932537,1.507285,0.579251,0.473508,0.224151,0.091066,1.685333
"Hong Kong S.A.R., China",71,5.472000,5.549594,5.394406,1.551675,1.262791,0.943062,0.490969,0.374466,0.293934,0.554633
Philippines,72,5.430000,5.545335,5.314665,0.857699,1.253918,0.468009,0.585215,0.193513,0.099332,1.972605
Serbia,73,5.395000,5.491570,5.298430,1.069318,1.258190,0.650785,0.208716,0.220126,0.040904,1.947084
Jordan,74,5.336000,5.448410,5.223590,0.991012,1.239089,0.604590,0.418421,0.172170,0.119803,1.791177
